decimalLatitude,decimalLongitude,vernacularName
70.0833,-149.1667,polar bear
70.8333,-152.25,polar bear
70.1667,-147.3333,polar bear
65.8,-167.7,polar bear
70.2,-150.8333,polar bear
70.1667,-143.6667,polar bear
70.6662,-146.8394,polar bear
70.5333,-149.8667,polar bear
70.5,-148.0,polar bear
71.5,-153.3333,polar bear
69.833,-144.1333,polar bear
70.5333,-148.0,polar bear
70.8333,-155.5,polar bear
69.3,-167.0,polar bear
69.5,-168.0,polar bear
69.8333,-143.0,polar bear
70.1,-149.3333,polar bear
70.1854,-146.061,polar bear
72.183,-160.7,polar bear
69.9333,-144.4667,polar bear
69.8167,-144.5833,polar bear
70.4,-147.6667,polar bear
70.1833,-143.6667,polar bear
70.2,-143.5833,polar bear
70.1,-144.1167,polar bear
70.0333,-144.1667,polar bear
70.031,-143.66,polar bear
69.9667,-144.7833,polar bear
70.554,-149.4476,polar bear
70.0265,-142.6845,polar bear
65.5,-167.6667,polar bear
69.65,-143.6667,polar bear
68.9167,-164.8333,polar bear
63.3667,-171.75,polar bear
70.3,-148.0,polar bear
69.9629,-144.5608,polar bear
70.1763,-145.9537,polar bear
70.1787,-145.9653,polar bear
63.75,-171.7333,polar bear
71.1667,-157.0333,polar bear
70.9167,-155.0,polar bear
70.1333,-162.0,polar bear
70.5519,-149.4878,polar bear
70.5524,-149.4906,polar bear
68.9333,-164.2333,polar bear
70.1867,-145.9958,polar bear
70.1107,-147.1982,polar bear
70.33,-150.08,polar bear
70.33,-150.07,polar bear
70.8317,-158.148,polar bear
71.2033,-156.983,polar bear
71.3833,-156.47,polar bear
63.578,-170.426,polar bear
65.76,-168.897,polar bear
65.776,-167.712,polar bear
65.768,-167.706,polar bear
70.384,-160.797,polar bear
70.301,-161.25,polar bear
70.31,-160.99,polar bear
70.621,-159.849,polar bear
70.451,-159.778,polar bear
70.6913,-159.8978,polar bear
70.8308,-158.0274,polar bear
70.41,-151.87,polar bear
70.447,-159.0408,polar bear
69.959,-142.958,polar bear
69.916,-144.814,polar bear
69.698,-144.38,polar bear
70.557,-149.515,polar bear
71.39,-156.455,polar bear
70.501,-160.037,polar bear
70.4339,-150.0029,polar bear
70.1248,-145.9077,polar bear
72.05,-152.05,polar bear
73.46,-142.387,polar bear
70.0,-138.8333,polar bear
69.6333,-139.1167,polar bear
69.959,-144.5803,polar bear
69.6,-140.5833,polar bear
72.8,-138.5167,polar bear
70.6833,-147.7667,polar bear
70.8167,-150.6333,polar bear
69.5863,-142.6056,polar bear
70.0226,-142.7237,polar bear
71.9667,-140.1167,polar bear
72.5,-139.5,polar bear
72.754,-159.001,polar bear
72.8167,-140.8167,polar bear
74.1833,-150.3833,polar bear
73.05,-160.9667,polar bear
73.3667,-136.85,polar bear
70.1808,-145.9778,polar bear
69.9667,-144.4,polar bear
69.8288,-146.0663,polar bear
70.2333,-132.3,polar bear
69.8916,-142.9327,polar bear
69.6,-139.2333,polar bear
69.7333,-137.0,polar bear
69.7167,-134.4333,polar bear
69.55,-140.25,polar bear
74.2,-145.7333,polar bear
72.8333,-158.5,polar bear
69.9775,-145.0028,polar bear
69.9673,-147.0272,polar bear
69.9741,-144.7728,polar bear
71.1,-142.25,polar bear
69.528,-141.0346,polar bear
69.9065,-145.1028,polar bear
69.55,-139.6333,polar bear
69.9524,-143.1785,polar bear
70.118,-144.267,polar bear
73.9,-148.5833,polar bear
76.1,-160.749,polar bear
69.75,-140.4,polar bear
72.2667,-138.1833,polar bear
74.5,-160.0,polar bear
74.605,-160.0,polar bear
71.0,-134.0833,polar bear
71.793,-138.309,polar bear
70.1987,-143.686,polar bear
70.924,-171.976,polar bear
73.8,-166.15,polar bear
74.5667,-164.15,polar bear
73.162,-171.931,polar bear
74.6333,-170.2333,polar bear
73.8,-138.3333,polar bear
71.751,-148.641,polar bear
72.1333,-152.3,polar bear
72.1333,-137.6667,polar bear
76.862,-150.848,polar bear
72.3,-147.8,polar bear
70.0995,-145.674,polar bear
74.3,-154.3,polar bear
73.4833,-153.4333,polar bear
70.1667,-144.2333,polar bear
69.6167,-139.009,polar bear
76.0,-154.9,polar bear
73.236,-153.796,polar bear
72.3833,-161.2,polar bear
74.679,-147.96,polar bear
71.9,-151.9667,polar bear
71.8,-162.5,polar bear
72.316,-161.975,polar bear
73.4833,-153.8333,polar bear
77.527,-156.131,polar bear
75.7,-138.1667,polar bear
71.6167,-148.3,polar bear
71.6,-157.1667,polar bear
